publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	platform_url	platform	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publiation_title_id	access_type	preceding_title_journal_id	journal_id	journal_title_history	monograph_parent_collection_title
Middle East journal of management		2050-3644	2013-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=mejm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of financial engineering and risk management		2049-0917	2013-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijferm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of bonds and derivatives			2013-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijbd	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of auditing technology			2013-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijaudit	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
African journal of economic and sustainable development		2046-4789	2013-01-01	2	1				https://www.inderscience.com/jhome.php?jcode=ajesd	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
Asian Journal of Management Science and Applications		2049-8691	2013-01-01	1					http://www.inderscience.com/jhome.php?jcode=ajmsa	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of work innovation		2043-9040	2012-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijwi	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of happiness and development		2049-2804	2012-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijhd	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of diplomacy and economy		2049-0895	2012-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijdipe	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
African journal of accounting, auditing and finance			2012-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ajaaf	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of portfolio analysis and management		2048-237X	2012-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijpam	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of social entrepreneurship and innovation		2043-8265	2011-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijsei	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of management development		1752-850X	2011-01-01	1					http://www.inderscience.com/browse/index.php?journalID=251	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of aviation management		1755-991X	2011-01-01	1					http://www.inderscience.com/browse/index.php?journalID=289	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of modelling in operations management		2042-4108	2010-01-01	1					http://www.inderscience.com/browse/index.php?journalID=361	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business competition and growth		2042-3853	2010-01-01	1					http://www.inderscience.com/browse/index.php?journalID=360	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of complexity in leadership and management		1759-0264	2010-01-01	1					http://www.inderscience.com/browse/index.php?journalID=345	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of economics and accounting		2041-8698	2010-01-01	1					http://www.inderscience.com/browse/index.php?journalID=357	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of computational economics and econometrics		1757-1189	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=311	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of education economics and development		1759-5681	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=346	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International Journal of Financial Markets and Derivatives		1756-7149	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=307	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International Journal of Pluralism and Economics Education		1757-5656	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=319	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business continuity and risk management		1758-2172	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=333	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of shipping and transport logistics		1756-6525	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=304	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of economics and business research		1756-9869	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=310	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of leisure and tourism marketing		1757-5575	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=318	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of quality and innovation		1756-6983	2009-01-01	1		2012	2		http://www.inderscience.com/browse/index.php?journalCODE=ijqi	https://www.inderscience.com/	Inderscience				fulltext		SpringerInderscience								P				
International journal of critical accounting		1757-9856	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijca	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of business performance and supply chain modelling		1758-941X	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijbpscm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of collaborative enterprise		1740-2093	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijcent	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
European journal of cross-cultural competence and management		1758-1516	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ejccm	https://www.inderscience.com/	Inderscience				fulltext										P				
International journal of entrepreneurial venturing		1742-5379	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=123	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of strategic business alliances		1756-6452	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalID=303	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of decision sciences, risk and management		1753-7177	2009-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijdsrm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of services sciences		1753-1454	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=238	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business excellence		1756-0055	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=291	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of banking, accounting and finance		1755-3849	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=277	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of applied management science		1755-8921	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=286	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of project organisation and management		1740-2905	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=96	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of arab culture, management and sustainable development		1753-9420	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=256	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of sustainable economy		1756-5812	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=301	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of behavioural accounting and finance		1753-1977	2008	1					http://www.inderscience.com/browse/index.php?journalID=237	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of business forecasting and marketing intelligence		1744-6643	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=156	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of innovation and regional development		1753-0679	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=234	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Publ.								P				
International journal of electronic banking		1753-5247	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=248	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of managerial and financial accounting		1753-6723	2008-01-01	1					http://www.inderscienceonline.com/loi/ijmfa	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of sustainable strategic management		1753-3619	2008-01-01	1					http://www.inderscience.com/ijssm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of accounting and finance		1752-8232	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=231	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business and emerging markets		1753-6227	2008-01-01	1	1				https://www.inderscience.com/jhome.php?jcode=ijbem	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
American journal of finance and accounting		1752-7775	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=229	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of management and network economics		1754-2324	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=259	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of corporate governance		1754-3045	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=260	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of services, economics and management		1753-0830	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=236	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of procurement management		1753-8440	2008-01-01	1					http://www.inderscience.com/browse/index.php?journalID=255	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
Afro-Asian Journal of Finance and Accounting		1751-6455	2008-01-01	1					http://www.inderscience.com/aajfa	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of technological learning, innovation and development		1753-1950	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=240	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of public sector performance management		1741-105X	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=44	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of monetary economics and finance		1752-0487	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=218	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of trade and global markets		1742-755X	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=130	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of intelligent enterprise		1745-3240	2007-01-01						http://www.inderscience.com/browse/index.php?journalID=167	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of logistics economics and globalisation		1741-5381	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=64	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of technoentrepreneurship		1746-5389	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=175	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of electronic customer relationship management		1750-0672	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=199	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of tourism policy		1750-4104	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=200	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of economic policy in emerging economies		1752-0460	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=219	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of Indian culture and business management		1753-0814	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=235	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
Journal for global business advancement		1746-9678	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=181	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business and systems research		1751-2018	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=206	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business and globalisation		1753-3635	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalID=245	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of Chinese culture and management		1752-1289	2007-01-01						http://www.inderscience.com/browse/index.php?journalID=220	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
European journal of international management		1751-6765	2007-01-01	1					http://www.inderscienceonline.com/loi/ejim	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of revenue management		1741-8186	2007-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijrm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business innovation and research		1751-0260	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalID=203	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of strategic change management		1740-2867	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijscm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of intellectual property management		1478-9655	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijipm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Limited								P				
International journal of enterprise network management		1748-1260	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijenm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd.								P				
International journal of electronic marketing and retailing		1741-1033	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijemr	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd.								P				
International journal of business environment		1740-0597	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijbe	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd.								P				
International journal of value chain management		1741-5365	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijvcm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of productivity and quality management		1746-6482	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijpqm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of knowledge management studies		1743-8276	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijkms	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd.								P				
International journal of information systems and change management		1479-313X	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijiscm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of green economics		1744-9936	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijge	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of electronic finance		1746-0077	2006-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijef	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of agile systems and management		1741-9182	2006-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijasm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of innovation & sustainable development		1740-8830	2005-01-01	1					http://www.inderscience.com/browse/index.php?journalID=33	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of learning and change		1740-2883	2005-01-01	1					http://www.inderscience.com/browse/index.php?journalID=85	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of financial services management		1741-8062	2005-01-01	1					http://www.inderscience.com/browse/index.php?journalID=76	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business information systems		1746-0980	2005-01-01	1					http://www.inderscience.com/browse/index.php?journalID=172	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of technology marketing		1741-8798	2005-01-01						http://www.inderscience.com/browse/index.php?journal...	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of mass customisation			2005-01-01	1					http://www.inderscience.com/ijmassc/	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of public policy		1740-0619	2005-01-01	1					http://www.inderscience.com/browse/index.php?journalCODE=ijpp	https://www.inderscience.com/	Inderscience				fulltext		Inderscience								P				
International journal of process management and benchmarking		1741-816X	2005-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijpmb	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
World review of entrepreneurship, management and sustainable development		1746-0581	2005-01-01	1					http://www.inderscience.com/jhome.php?jcode=wremsd	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of services and operations management		1744-2389	2005-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijsom	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of product lifecycle management		1743-5129	2005-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijplm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business process integration and management		1741-8771	2005-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijbpim	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of sport management and marketing		1740-2808	2005-01-01	1					http://www.inderscienceonline.com/loi/ijsmm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of technology and globalisation		1741-8194	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijtg	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of services and standards		1740-8857	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijss	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of six sigma and competitive advantage		1479-2753	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijssca	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of management concepts and philosophy		1741-8135	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijmcp	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of logistics systems and management		1742-7975	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijlsm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of learning and intellectual capital		1479-4861	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijlic	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of integrated supply management		1741-8097	2005-01-01	1					http://inderscience.metapress.com/openurl.asp?genre=journal&issn=1477-5360	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of globalisation and small business		1479-3067	2004-01-01	1					http://inderscience.metapress.com/openurl.asp?genre=journal&issn=1479-3059	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of foresight and innovation policy		1740-2824	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijfip	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of entrepreneurship and small business		1741-8054	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijesb	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business governance and ethics		1741-802X	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijbge	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of product development		1741-8178	2004-01-01	1					http://www.inderscienceonline.com/loi/ijpd	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of accounting, auditing and performance evaluation		1740-8016	2004-01-01	1					http://inderscience.metapress.com/link.asp?id=111023	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of management practice		1741-8143	2004-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijmp	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of internet marketing and advertising		1741-8100	2004-01-01	1					https://www.inderscience.com/jhome.php?jcode=ijima	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Limited								P				
Journal for international business and entrepreneurship development		1747-6763	2003-01-01	1					http://www.inderscience.com/browse/index.php?journalID=182	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of management & enterprise development		1741-8127	2003-01-01	1					https://www.inderscience.com/jhome.php?jcode=ijmed	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of electronic business		1470-6067	2003-01-01	1					http://www.inderscience.com/catalogue/e/ijeb/indexijeb.html	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of internet and enterprise management		1476-1300	2003-01-01	1					http://www.inderscience.com/catalogue/i/ijiem/indexijiem.html	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of technology transfer and commercialisation		1470-6075	2002-01-01	1					https://www.inderscience.com/jhome.php?jcode=ijttc	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of information technology and management		1461-4111	2002-01-01	1					https://www.inderscience.com/jhome.php?jcode=ijitm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of networking and virtual organisations		1470-9503	2002-01-01	1					https://www.inderscience.com/jhome.php?jcode=ijnvo	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of entrepreneurship and innovation management		1741-5098	2001-01-01	1					https://www.inderscienceonline.com/loi/ijeim	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterpr.								P				
International journal of technology, policy and management		1468-4322	2001-01-01	1					http://www.inderscienceonline.com/loi/ijtpm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of human resources development and management		1465-6612	2000-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijhrdm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of risk assessment and management		1741-5241	2000-01-01	1					https://www.inderscience.com/jhome.php?jcode=ijram	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd.								P				
International journal of management and decision making		1462-4621	2000-01-01	1					https://www.inderscience.com/jhome.php?jcode=ijmdm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd.								P				
Global business & economics review		1745-1329	1999-01-01	1					http://www.inderscience.com/browse/index.php?journalID=168	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises								P				
International journal of business performance management		1368-4892	1998-01-01	1					http://www.inderscience.com/jhome.php?jcode=ijbpm	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd.								P				
International journal of technology management	1741-5276	0267-5730	1997-01-01	13					http://www.inderscience.com/catalogue/t/ijtm/indexijtm.html	https://www.inderscience.com/	Inderscience				fulltext		Inderscience Enterprises Ltd								P				
